,data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
5802,2023-11-04 19:07:09.167195,Viva Real,2624630843,"Lote/Terreno    para Aluguel, 1946m²","Santo Antônio de Lisboa, Florianópolis - SC",,,Santo Antônio de Lisboa,florianopolis,5000,Mês,,1946,,,,https://vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-1946m2-aluguel-RS5000-id-2624630843/,Condomínio fechado
5803,2023-11-04 19:07:09.169627,Viva Real,2657451169,Casa com 3 Quartos para Venda/Aluguel 107m²,"Santo Antônio de Lisboa, Florianópolis - SC",,,Santo Antônio de Lisboa,florianopolis,8500,Mês,,107,3,3,1,https://vivareal.com.br/imovel/casa-3-quartos-santo-antonio-de-lisboa-bairros-florianopolis-com-garagem-107m2-venda-RS1150000-id-2657451169/,Varanda; Churrasqueira; Cozinha; Mais de um andar; Quintal
5804,2023-11-04 19:07:09.171953,Viva Real,2657446233,"Casa de condomínio com 3 Quartos para Aluguel, 170m²","Jurerê, Florianópolis - SC",,,Jurerê,florianopolis,15000,Mês,1727,170,4,3,1,https://vivareal.com.br/imovel/casa-de-condominio-3-quartos-jurere-bairros-florianopolis-com-garagem-170m2-aluguel-RS15000-id-2657446233/,Mobiliado; Churrasqueira; Condomínio fechado; Varanda; Ar-condicionado; ...
5805,2023-11-04 19:07:09.174200,Viva Real,2657452762,"Apartamento com 3 Quartos para Aluguel, 90m²","Jurerê, Florianópolis - SC",,,Jurerê,florianopolis,2000,Dia,,90,2,3,2,https://vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-90m2-aluguel-RS2000-id-2657452762/,Piscina; Mobiliado; Churrasqueira; Condomínio fechado; Varanda; ...
5806,2023-11-04 19:07:09.176400,Viva Real,2657451960,"Casa com 7 Quartos para Aluguel, 500m²","Jurerê Internacional, Florianópolis - SC",,,Jurerê Internacional,florianopolis,35000,Mês,,500,8,7,8,https://vivareal.com.br/imovel/casa-7-quartos-jurere-internacional-bairros-florianopolis-com-garagem-500m2-aluguel-RS35000-id-2657451960/,Piscina; Mobiliado; Churrasqueira; Ar-condicionado; Cozinha; ...
5807,2023-11-04 19:07:09.178692,Viva Real,2664250642,"Cobertura com 3 Quartos para Aluguel, 100m²","Rua Fernando Osvaldo de Oliveira - Cachoeira do Bom Jesus, Florianópolis - SC",Rua Fernando Osvaldo de Oliveira ,, Cachoeira do Bom Jesus,florianopolis,1200,Dia,,100,2,3,1,https://vivareal.com.br/imovel/cobertura-3-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-100m2-aluguel-RS1200-id-2664250642/,Garagem
5808,2023-11-04 19:07:09.180803,Viva Real,2657450886,"Casa com 6 Quartos para Aluguel, 400m²","Daniela, Florianópolis - SC",,,Daniela,florianopolis,3500,Dia,,400,5,6,2,https://vivareal.com.br/imovel/casa-6-quartos-daniela-bairros-florianopolis-com-garagem-400m2-aluguel-RS3500-id-2657450886/,Piscina; Mobiliado; Varanda; Ar-condicionado; Lareira; ...
5809,2023-11-04 19:07:09.183004,Viva Real,2595210061,Imóvel comercial com 4 Quartos para Venda/Aluguel 473m²,"Coqueiros, Florianópolis - SC",,,Coqueiros,florianopolis,12000,Mês,,473,2,4,1,https://vivareal.com.br/imovel/imovel-comercial-4-quartos-coqueiros-bairros-florianopolis-com-garagem-473m2-venda-RS2900000-id-2595210061/,Piscina; Churrasqueira; Condomínio fechado; Varanda; Garagem; ...
5810,2023-11-04 19:07:09.185185,Viva Real,2661654354,"Sala/Conjunto    para Aluguel, 82m²","Rua Conselheiro Mafra - Centro, Florianópolis - SC",Rua Conselheiro Mafra ,, Centro,florianopolis,1800,Mês,,82,1,,,https://vivareal.com.br/imovel/centro-bairros-florianopolis-82m2-aluguel-RS1800-id-2661654354/,Cozinha
5811,2023-11-04 19:07:09.187364,Viva Real,2651555287,"Casa com 3 Quartos para Aluguel, 198m²","Rua Bernardino João Damazio - Tapera, Florianópolis - SC",Rua Bernardino João Damazio ,, Tapera,florianopolis,3300,Mês,,198,1,3,1,https://vivareal.com.br/imovel/casa-3-quartos-tapera-bairros-florianopolis-com-garagem-198m2-aluguel-RS3300-id-2651555287/,Varanda; Aceita animais; Área de serviço; Cozinha; Depósito; ...
