data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
2023-11-07 15:35:12.621279,Vivareal,2643723375,"Casa com 3 Quartos para Aluguel, 140m²","Campeche, Florianópolis - SC",,,Campeche,florianopolis,8500,Mês,,140.0,3.0,3.0,2.0,https://vivareal.com.br/imovel/casa-3-quartos-campeche-bairros-florianopolis-com-garagem-140m2-aluguel-RS8500-id-2643723375/,Churrasqueira; Quintal; Garagem; Jardim; Área de serviço; ...
2023-11-07 15:35:12.622723,Vivareal,2643340153,"Casa com 3 Quartos para Aluguel, 350m²","Rio Tavares, Florianópolis - SC",,,Rio Tavares,florianopolis,27500,Mês,2000.0,350.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/casa-3-quartos-rio-tavares-bairros-florianopolis-com-garagem-350m2-aluguel-RS27500-id-2643340153/,Churrasqueira; Lareira; Armário na cozinha; Área de serviço; Escritório
2023-11-07 15:35:12.624105,Vivareal,2650470256,"Sala/Conjunto    para Aluguel, 50m²","Jurerê Internacional, Florianópolis - SC",,,Jurerê Internacional,florianopolis,5000,Mês,,50.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-jurere-internacional-bairros-florianopolis-com-garagem-50m2-aluguel-RS5000-id-2650470256/,Interfone; Salão de festas
2023-11-07 15:35:12.625499,Vivareal,2655150954,"Apartamento com 3 Quartos para Aluguel, 103m²","Jurerê Internacional, Florianópolis - SC",,,Jurerê Internacional,florianopolis,10000,Mês,1200.0,103.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-jurere-internacional-bairros-florianopolis-com-garagem-103m2-aluguel-RS10000-id-2655150954/,
2023-11-07 15:35:12.626851,Vivareal,2655351166,"Casa com 4 Quartos para Aluguel, 310m²","Coqueiros, Florianópolis - SC",,,Coqueiros,florianopolis,15900,Mês,,310.0,2.0,4.0,6.0,https://vivareal.com.br/imovel/casa-4-quartos-coqueiros-bairros-florianopolis-com-garagem-310m2-aluguel-RS15900-id-2655351166/,Churrasqueira
2023-11-07 15:35:12.628333,Vivareal,2652119071,"Apartamento com  Quarto para Aluguel, 41m²","Avenida Mauro Ramos, 1512 - Centro, Florianópolis - SC",Avenida Mauro Ramos,1512.0, Centro,florianopolis,5200,Mês,495.0,41.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-com-garagem-41m2-aluguel-RS5200-id-2652119071/,Mobiliado; Elevador; Condomínio fechado; Academia; Espaço gourmet; ...
2023-11-07 15:35:12.629983,Vivareal,2664037005,Sala/Conjunto    para Venda/Aluguel 48m²,"Rua Conselheiro Mafra, 758 - Centro, Florianópolis - SC",Rua Conselheiro Mafra,758.0, Centro,florianopolis,1700,Mês,,48.0,1.0,,2.0,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-48m2-venda-RS420000-id-2664037005/,Garagem
2023-11-07 15:35:12.631303,Vivareal,2634582120,"Casa com 5 Quartos para Aluguel, 345m²","Rua Recanto das Papoulas - Daniela, Florianópolis - SC",Rua Recanto das Papoulas ,, Daniela,florianopolis,36000,Mês,,345.0,6.0,5.0,3.0,https://vivareal.com.br/imovel/casa-5-quartos-daniela-bairros-florianopolis-com-garagem-345m2-aluguel-RS36000-id-2634582120/,Piscina; Mobiliado; Churrasqueira; Quintal; Aceita animais; ...
2023-11-07 15:35:12.632768,Vivareal,2628679339,"Sala/Conjunto    para Aluguel, 165m²","Rua Almirante Alvim, 607 - Centro, Florianópolis - SC",Rua Almirante Alvim,607.0, Centro,florianopolis,4350,Mês,,165.0,,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-165m2-aluguel-RS4350-id-2628679339/,
2023-11-07 15:35:12.634238,Vivareal,2629158660,"Apartamento com 3 Quartos para Aluguel, 195m²","Rua Heitor Luz, 2033 - Centro, Florianópolis - SC",Rua Heitor Luz,2033.0, Centro,florianopolis,9500,Mês,1760.0,195.0,3.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-195m2-aluguel-RS9500-id-2629158660/,Mobiliado; Churrasqueira; Elevador; Ar-condicionado; Salão de festas; ...
2023-11-07 15:35:12.635644,Vivareal,2590914410,"Sala/Conjunto    para Aluguel, 311m²","Avenida Professor Othon Gama D'Eça, 677 - Centro, Florianópolis - SC",Avenida Professor Othon Gama D'Eça,677.0, Centro,florianopolis,23000,Mês,,311.0,7.0,,9.0,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-311m2-aluguel-RS23000-id-2590914410/,Interfone
